record_id,age
14232,45
11186,45
22534,15
26943,45
47375,45
4501,45
19030,45
18639,45
44469,15
5871,35
30699,45
5408,45
44628,45
36591,45
3715,45
42759,45
36686,35
1952,45
24576,55
39413,45
7878,35
34563,75
45305,45
47265,45
22468,45
30265,45
16495,45
23408,15
8649,35
24059,15
21991,35
38068,55
37962,45
23963,15
2844,45
38514,15
1033,35
551,45
9742,65
26253,45
46680,45
42875,35
16589,45
47353,45
42587,35
17936,15
47080,25
36501,35
17371,35
4248,45
27544,15
28487,45
37983,45
32403,45
22479,45
6873,45
31817,45
8366,65
27006,45
17995,15
3614,45
47443,45
24774,45
24839,45
15362,45
32646,45
1147,45
9835,35
47386,45
27417,75
7822,75
25062,35
47098,45
3336,45
30997,45
25117,35
22611,45
35661,45
17137,45
34693,45
21655,45
30347,35
11843,15
14787,45
25557,45
41865,45
41546,45
13251,45
11679,45
1463,45
33334,35
15330,45
34139,45
8887,65
7192,45
18822,35
45197,45
46027,55
2993,45
32891,45
46125,35
674,45
31996,45
36980,45
10160,45
42753,35
8248,25
44551,45
36345,75
4948,45
9994,45
42795,45
33220,35
16546,45
34719,45
46484,45
40025,45
47198,35
10534,45
39875,45
12658,45
45324,45
43970,45
19800,35
45101,45
38965,45
14382,45
32288,25
31808,45
2481,45
1587,15
38038,45
45740,65
29464,45
35345,45
33448,45
13955,45
44555,55
14464,45
24245,45
23349,35
25316,45
9328,25
31760,25
20467,45
7405,45
32610,45
34470,75
34011,45
24914,45
35450,55
16132,45
24141,45
12633,45
25030,45
11756,35
22939,45
43109,15
18893,55
20512,45
25143,45
1856,45
9441,45
35133,45
17307,45
23497,65
4820,15
9372,45
20672,45
21547,45
11789,45
13520,15
17495,45
1658,15
24471,45
21076,45
20543,45
10426,45
17848,45
47066,15
13814,25
47999,25
11308,45
25016,45
12691,25
12520,25
29295,45
2472,45
21143,45
1281,45
37504,45
21138,15
25312,35
30871,25
9567,75
41711,45
20487,45
705,45
23424,45
30245,45
24148,45
31733,45
22038,45
33580,45
11312,55
36366,45
34040,75
35146,55
38742,45
13674,45
27604,45
20821,45
30767,45
10516,45
16086,45
5268,45
18349,15
9090,45
16392,55
11900,45
18892,45
4349,45
40162,45
4281,65
8258,35
37474,45
36797,35
27054,45
24552,45
28128,35
47396,45
26128,45
41575,15
47090,15
26062,15
