record_id,age
14232,47
11186,49
22534,15
26943,45
47375,45
4501,45
19030,21
18639,45
44469,45
5871,34
30699,45
5408,45
44628,45
36591,55
3715,25
42759,45
36686,34
1952,30
24576,52
39413,45
7878,37
34563,45
45305,45
47265,45
22468,45
30265,45
16495,23
23408,15
8649,45
24059,15
21991,35
38068,55
37962,45
23963,45
2844,45
38514,25
1033,45
551,45
9742,75
26253,39
46680,41
42875,35
16589,45
47353,45
42587,35
17936,29
47080,15
36501,45
17371,45
4248,51
27544,15
28487,45
37983,47
32403,45
22479,17
6873,73
31817,45
8366,75
27006,45
17995,45
3614,25
47443,15
24774,51
24839,45
15362,45
32646,43
1147,45
9835,30
47386,45
27417,75
7822,75
25062,45
47098,45
3336,45
30997,25
25117,35
22611,35
35661,45
17137,45
34693,45
21655,24
30347,45
11843,25
14787,45
25557,45
41865,55
41546,45
13251,45
11679,45
1463,35
33334,35
15330,45
34139,45
8887,61
7192,45
18822,35
45197,47
46027,55
2993,45
32891,18
46125,35
674,55
31996,45
36980,45
10160,75
42753,45
8248,23
44551,45
36345,60
4948,45
9994,35
42795,39
33220,35
16546,35
34719,15
46484,45
40025,55
47198,45
10534,47
39875,45
12658,45
45324,45
43970,75
19800,45
45101,45
38965,18
14382,28
32288,25
31808,45
2481,45
1587,25
38038,55
45740,65
29464,52
35345,45
33448,36
13955,45
44555,45
14464,45
24245,32
23349,45
25316,45
9328,25
31760,45
20467,58
7405,55
32610,55
34470,75
34011,45
24914,45
35450,45
16132,45
24141,45
12633,45
25030,43
11756,45
22939,45
43109,45
18893,55
20512,44
25143,55
1856,45
9441,45
35133,35
17307,35
23497,65
4820,24
9372,45
20672,45
21547,45
11789,45
13520,24
17495,15
1658,15
24471,55
21076,45
20543,31
10426,45
17848,45
47066,15
13814,25
47999,45
11308,45
25016,45
12691,21
12520,15
29295,51
2472,45
21143,55
1281,45
37504,45
21138,25
25312,33
30871,15
9567,65
41711,35
20487,46
705,45
23424,56
30245,15
24148,46
31733,45
22038,15
33580,45
11312,55
36366,45
34040,75
35146,45
38742,42
13674,45
27604,46
20821,45
30767,45
10516,45
16086,45
5268,25
18349,24
9090,45
16392,45
11900,32
18892,45
4349,45
40162,45
4281,75
8258,45
37474,45
36797,45
27054,15
24552,45
28128,35
47396,45
26128,44
41575,45
47090,15
26062,25
42281,45
2824,45
33825,45
26727,45
13036,45
31004,15
25812,64
24637,15
43544,48
15857,45
14745,35
9862,55
40760,35
7747,25
16744,55
3742,45
25189,51
4126,55
37067,45
35262,55
9877,58
41154,40
24831,25
12552,45
39989,45
44964,15
28700,40
36491,15
38523,25
18809,45
8020,45
30435,45
41340,45
12006,45
39788,32
39338,45
41925,22
33379,45
42842,24
20883,15
21866,35
621,45
34612,45
1323,45
9084,55
14257,15
11472,45
25616,42
22077,45
20569,45
7754,45
39417,45
13046,45
16772,45
46244,55
46316,45
41039,23
2271,25
10735,30
29084,45
23640,25
3922,25
16857,45
35562,45
41244,35
27391,45
24599,45
16463,21
23048,45
15641,45
37152,52
11279,38
1880,15
45856,17
45385,15
5564,45
16339,45
17088,33
33331,45
28926,45
24330,45
43501,45
32167,45
44906,15
33896,45
909,45
15866,25
27773,15
2453,24
10703,55
45573,45
957,33
24620,36
15405,49
14482,75
47273,35
45151,45
18395,45
42735,53
23796,45
28837,55
31010,15
38849,45
26507,19
7189,45
7280,27
34487,15
28687,45
24674,15
33463,35
12066,45
17034,15
6287,15
35013,15
43832,45
29626,29
34849,45
37959,15
6411,45
1730,25
15509,45
19459,55
17400,45
32632,46
41686,45
6280,45
48095,49
42574,15
1474,22
43656,45
27879,45
20726,45
12305,35
32324,42
12495,45
26701,45
17791,45
30505,23
39411,65
14247,54
24958,15
23598,45
4198,26
15888,45
16830,15
48209,45
32819,35
6906,50
33138,45
48474,15
34532,45
6594,45
48648,45
5617,15
48033,40
3995,45
47687,35
45703,45
9390,65
6514,45
25462,51
37675,35
3278,55
36948,15
1351,45
44408,45
26842,45
42592,25
7330,35
48246,75
18711,45
16584,15
39587,75
31045,45
14977,45
25687,70
24881,45
47871,31
31121,45
7478,35
11457,45
23909,45
16902,52
13412,45
9965,45
2395,25
38253,32
46537,75
35956,45
4091,45
37231,45
12487,45
10435,45
11348,25
31654,45
29020,25
9168,45
33768,46
33601,45
39593,45
26875,45
37876,33
1871,45
25957,30
1602,45
14539,30
15957,25
33619,45
799,45
18845,25
40224,45
20498,15
44499,45
699,19
39518,55
25752,36
28514,51
7484,45
39815,43
27121,41
43359,45
4620,40
18556,26
14788,45
1613,45
15081,15
36932,45
32560,55
22621,43
24869,37
22320,45
5349,15
12203,15
46843,35
21527,46
23621,45
35983,34
10006,45
2559,45
41898,45
34527,15
36109,45
42755,44
26013,25
22347,25
10660,45
30262,35
11717,45
6269,24
5570,45
30469,45
10668,45
1591,26
38393,51
1924,15
24705,38
17950,55
15819,25
38146,47
30269,15
46676,35
45015,45
2814,15
540,45
15670,45
48076,45
33432,45
47208,45
44173,15
35091,45
31707,35
10376,45
140,65
23278,45
15679,45
24216,45
26262,75
12192,35
15623,45
15008,25
12527,45
39370,45
34030,40
2635,45
12053,35
44164,45
15486,45
36478,45
37394,63
46047,15
1375,41
9986,45
31205,55
32396,56
273,27
38506,45
6711,22
40699,20
39348,45
3734,15
4311,45
30197,45
46336,45
18856,35
24909,35
40163,26
1768,75
12319,45
4975,29
24974,45
42494,45
6941,46
24898,45
11766,45
29508,45
41347,45
44916,30
42556,45
7984,45
4941,33
17874,45
1096,62
15240,44
21174,45
20204,15
382,25
22126,45
13635,45
25217,45
47785,46
33892,45
29047,31
10197,45
8218,65
29533,15
24791,45
32357,35
17175,20
29993,45
41288,45
16436,45
3553,45
8037,55
14613,39
42566,25
22825,45
14732,45
1413,55
14556,35
20442,35
9395,31
46063,34
23201,45
19091,15
47420,45
4218,15
6814,45
39134,45
21326,25
303,55
5489,45
7566,25
2048,15
7026,45
13481,21
20252,35
48831,48
34449,39
28040,75
33680,45
40960,45
22966,45
41643,65
424,45
15855,35
5398,35
41539,15
39870,45
48067,15
36556,15
33705,45
39283,45
42550,29
40496,45
10664,45
11466,42
4868,45
33721,49
40249,45
22732,28
1232,15
18963,45
12767,25
2058,15
33811,47
48834,15
25129,47
30272,15
22289,45
32875,45
1359,15
4813,45
44808,45
15462,45
41737,45
46892,35
31750,45
45884,40
3426,39
27594,25
45711,55
11633,15
19524,45
18189,42
25797,15
45912,35
19877,19
28725,55
33596,45
27359,45
24236,45
40939,45
21353,18
32263,45
12696,45
25036,65
41419,42
46074,15
37916,45
39716,45
32228,40
7794,45
36064,45
1480,45
46439,29
25633,45
31442,57
6144,45
10188,25
45363,45
17606,25
12954,38
24214,20
15329,15
25205,15
35939,45
30216,55
40834,45
28594,15
6194,15
4757,35
42358,35
39907,45
30909,32
39963,45
46983,60
26382,45
28011,45
7818,15
36341,45
39500,45
41152,35
28866,45
25413,35
5674,40
36611,25
15060,45
21086,45
19981,45
15736,33
42213,45
20387,45
34423,35
36423,45
31759,45
15511,45
47382,15
36105,45
46905,45
23762,31
21325,45
30270,15
18448,45
22104,30
2079,47
13195,45
47100,35
9475,45
2785,45
24551,45
2742,45
26047,45
18710,49
29003,25
45758,45
47746,43
11341,45
21577,37
25747,15
43108,47
9790,45
34542,45
11896,45
21702,45
45271,25
2943,15
44265,53
16085,15
34631,45
13954,45
12464,25
18169,45
1424,45
45418,15
4260,45
41627,45
4901,45
16406,28
17891,25
20024,35
32330,24
29887,45
43632,45
18889,25
41026,45
23989,41
28036,35
10748,45
12005,45
18587,25
48108,18
41495,45
1775,45
880,45
1638,34
21156,45
41067,75
23455,45
9581,35
21037,45
48358,75
37875,45
10731,35
27653,45
5092,35
22912,23
41451,15
45467,15
34111,22
13485,35
21495,45
24531,45
9123,45
10214,35
47304,54
20073,65
34929,45
41180,45
36137,45
45450,45
22663,45
16757,45
33492,35
32908,59
1322,25
1272,25
15208,25
7233,21
46741,34
73,15
38232,45
40077,53
28760,33
7032,27
39524,35
38543,45
41662,45
38644,45
43939,25
41786,23
44418,45
19699,45
35505,45
8768,55
4284,45
30095,41
35407,35
26401,37
9692,45
2723,45
46343,35
32434,45
43124,45
7268,41
27479,55
20921,23
18962,45
3466,45
33837,45
33429,35
1084,45
45588,45
21270,37
7088,50
43239,25
24751,45
10378,25
20713,45
34345,75
21909,22
11745,33
32402,45
3795,45
7609,45
18295,45
44855,45
31465,48
19663,51
20477,35
11239,35
31815,45
4935,45
40227,18
4723,45
35408,45
19920,45
27155,30
37210,45
39939,61
25014,15
29481,15
33197,45
250,41
5892,45
30380,25
43742,45
7658,45
20123,22
18029,45
29954,45
36503,40
3408,25
35586,45
25191,39
39056,33
43820,35
26473,45
37442,45
45734,55
29796,44
29164,45
4447,15
8815,45
3234,34
35903,15
1500,45
11641,45
44492,45
43282,45
29926,45
17327,55
48279,35
13469,45
20282,45
26254,45
21945,45
10515,45
26910,45
420,20
13514,45
47648,45
41505,35
29178,25
1431,45
17751,22
21865,45
38744,45
13213,35
31341,45
19897,15
44169,45
20999,55
32504,45
