record_id,Education
806,4
63025,6
5820,4
47297,4
1276,5
49615,4
58294,4
38703,4
18296,6
32317,6
19025,6
18856,5
25998,4
20810,4
25865,4
43343,5
65088,5
60560,5
61684,6
42294,5
8366,5
12845,4
44728,5
4316,4
10815,4
62019,4
54193,4
5235,6
10677,4
19063,6
9770,4
63431,5
21055,5
63657,4
50676,5
22342,5
57107,2
60024,6
25947,4
19864,4
41326,2
39486,5
54230,5
57147,3
52421,5
52931,4
70558,5
34555,5
23513,6
66000,6
40252,5
8641,5
63137,4
60735,6
44186,4
1489,5
66328,4
69420,4
626,4
56403,4
59647,5
63521,5
32765,5
10149,4
21119,4
31538,5
10583,4
37879,5
67513,6
53298,4
29045,4
41556,4
44692,4
30113,4
45588,5
20832,5
17759,6
54149,5
18452,4
36053,2
5179,4
54808,4
16056,4
10946,5
66014,4
33519,5
10673,4
36227,4
19572,4
47654,3
69627,5
4311,5
49384,5
26194,4
33683,5
36603,5
2655,4
40376,4
14268,6
42104,6
40043,6
63915,5
53604,5
31280,5
51240,4
24360,5
45004,6
40051,4
19371,5
67162,4
10702,4
43156,4
60462,4
53330,4
51875,5
40608,4
52634,5
27664,4
58377,5
34336,4
19872,5
19150,4
3726,6
35619,4
50538,4
41860,5
56465,5
29440,4
39311,5
44261,4
15573,4
65648,4
7702,6
46428,4
24126,6
46537,4
26710,4
15649,6
45851,6
37692,4
47453,5
47605,5
12414,4
61373,5
55364,5
27619,4
44107,4
60686,4
69199,4
12520,5
4043,4
7276,6
37912,4
27974,5
10371,5
67075,4
55415,5
20260,5
49816,4
48380,5
7247,4
30706,4
64800,4
25478,6
53814,5
52520,4
67909,4
13531,5
36420,4
7402,6
46214,4
5134,4
32137,4
15843,5
43969,4
67043,5
29083,5
31756,6
39277,5
64015,4
42111,4
20094,5
10066,4
32393,5
52531,5
57254,3
55803,5
27816,3
10109,4
32941,5
33695,4
12679,4
41502,5
9069,4
64910,5
2810,4
42216,3
22554,4
4356,1
17590,4
48939,4
55441,4
12156,4
2570,4
11028,4
58729,4
3132,4
15652,3
38811,5
64283,4
1110,4
67500,4
57231,4
5077,4
12531,4
8315,4
5951,5
54733,5
8868,4
19362,4
51600,5
67707,4
2714,6
46019,4
59122,4
19885,6
49407,4
38908,2
1734,4
11144,2
79,5
1352,4
50459,5
48982,6
17420,6
26691,4
47877,5
23251,4
49397,6
15951,6
44334,4
59563,3
62442,5
38324,2
43071,4
24006,2
63105,4
32620,5
30212,6
5921,6
69949,4
25399,5
9141,5
5189,5
66054,6
36408,5
26864,4
49827,4
56014,4
60775,5
52441,4
42157,5
40611,4
5592,6
15097,5
29444,4
46744,5
26549,6
18261,4
4188,5
44065,6
30489,5
19246,6
52384,4
15613,5
6259,4
37923,5
760,4
41438,5
44532,5
23770,4
35293,5
16970,4
22298,4
66773,5
62455,4
16065,6
56714,5
24363,5
66,5
55107,5
8355,5
60471,4
23356,5
62823,2
25159,4
6718,4
275,4
7211,4
52688,4
19667,4
39753,4
37309,5
38716,5
67430,4
51810,5
11673,5
48551,4
19178,4
67617,2
31629,5
4124,5
67019,4
44212,4
7724,4
53156,5
59331,2
23373,4
44807,4
39309,6
44991,5
52874,5
13757,5
9968,4
13754,4
53448,4
6488,5
59891,4
7876,4
11785,5
45942,6
2917,4
39477,4
58194,5
23410,5
31888,4
4182,5
42130,4
62798,4
61896,4
58383,4
5763,5
33166,4
7260,5
11431,5
61114,4
48514,5
69595,2
65811,4
31462,6
54683,5
22039,4
13799,4
69802,4
67783,4
42320,5
9569,5
70533,4
70382,2
64996,5
64641,5
69398,4
10218,4
52181,5
12748,5
12148,4
51540,4
37813,6
15903,2
30925,4
24143,5
3706,6
49897,4
4237,4
70183,4
54924,4
70171,4
13095,5
16159,4
18256,4
29049,4
53558,4
30359,6
19757,4
3011,4
64692,5
43102,5
21206,2
51637,5
36731,4
60337,4
40666,5
67663,4
26008,5
37196,2
22632,4
57356,6
7957,5
65564,5
41448,4
10146,6
10450,6
18625,4
64189,4
20504,6
15369,4
20889,6
24072,4
11161,4
47867,4
5670,5
43785,5
19817,4
46303,5
8434,4
11974,4
24396,6
3858,4
23292,4
40263,5
69289,6
6682,5
32751,4
46531,5
11231,4
51611,5
32100,5
40830,6
62556,5
44468,5
57330,5
43121,4
39100,4
42787,5
61769,5
37779,4
21331,4
23780,4
19210,5
70095,2
262,5
20668,4
25354,5
25459,6
43597,5
27733,4
63408,4
65063,4
58673,4
67527,4
37937,2
25634,5
1185,5
26460,5
16729,6
48162,4
67943,4
61466,5
27087,5
33486,6
1169,6
40991,6
3559,4
64668,5
35711,5
58348,4
24559,5
5794,5
30264,5
60677,4
9762,4
49668,4
52841,4
4410,4
19973,6
63423,6
21318,5
16478,4
54027,5
52444,5
34324,6
45209,5
29525,5
35280,5
58372,4
23043,4
62268,5
12922,6
15229,6
47735,5
56540,5
53451,5
61342,4
36638,5
66174,2
57658,5
11263,4
29492,5
28087,5
44520,5
28448,5
52377,4
6469,4
21284,5
57717,5
69745,5
39382,2
51436,5
50623,4
59070,5
21386,4
59958,4
28997,4
69693,4
7776,6
62280,5
62220,2
3543,5
10898,5
16844,5
51425,5
9727,6
35933,5
15174,4
46906,4
56504,4
12228,5
21195,4
67949,4
26973,4
33673,4
39446,4
17872,4
27454,5
20056,4
24329,4
27344,6
56727,5
14587,6
36381,5
67101,5
34788,4
59821,4
38803,4
44276,4
36154,5
58902,5
65132,5
7017,4
48896,5
44718,4
15841,6
32506,4
53524,6
66199,5
5112,4
51492,4
32646,4
11856,4
33915,5
56902,5
15904,5
16731,4
45453,4
55837,5
62607,5
11173,4
40111,5
55458,4
25903,5
27603,6
38935,4
58026,4
5156,4
45641,4
39997,5
9431,4
22536,4
41062,5
46131,5
45645,5
43363,2
68242,4
59894,4
6139,5
65288,6
60435,4
27127,4
4949,4
32254,5
8006,5
57333,2
33476,2
12227,6
60259,6
48119,4
63488,6
63508,5
40311,4
50481,4
31719,3
26972,4
20061,4
62522,4
4255,4
58419,5
69842,5
69547,5
30753,5
61339,4
20576,2
38146,4
4756,5
14230,4
39967,4
14133,5
6793,6
61209,4
58789,5
31347,4
61284,4
58443,4
2278,6
17402,4
18078,6
14674,4
5007,6
47120,4
1580,5
63888,4
53809,4
49312,4
43717,2
49454,4
44474,5
18518,5
60719,5
9335,5
33503,4
66817,4
34859,5
25043,5
68018,6
15109,4
46496,5
8268,5
33702,4
47020,4
40053,4
14824,4
2065,4
26388,4
56340,4
69190,5
16793,4
10428,4
57328,5
7469,4
22200,4
46249,4
295,4
18254,4
46525,6
49005,4
40685,4
15358,5
69806,5
54818,5
24061,5
36059,4
18115,2
22852,5
37279,5
25799,4
40264,4
51817,4
19023,4
45471,4
52285,5
28319,5
801,4
55684,4
4738,5
44627,6
70392,5
2021,4
20502,4
44441,4
18782,4
7778,6
58380,5
59945,4
37810,5
42923,4
65040,4
10062,5
57619,4
32327,5
38561,4
46603,4
47219,4
57496,5
20577,4
57269,5
7312,4
50072,4
32803,4
24966,5
67336,4
46709,5
22538,5
49052,4
16761,5
38805,5
53403,4
34544,4
64625,5
68299,5
53506,5
23788,5
52440,5
35066,4
49889,5
15888,6
53332,5
11215,6
32069,5
69880,4
40844,5
6104,5
69846,5
22649,5
60108,6
44342,4
21464,6
19585,5
37209,4
67206,5
9707,5
30035,4
64965,4
56294,4
60052,5
13169,2
10260,4
42619,4
33951,5
61864,4
4235,5
54163,5
9542,4
68760,5
68498,5
33153,5
24965,3
21459,4
33555,6
18436,4
6110,4
8844,5
44602,5
23587,6
17584,5
64253,5
15640,5
39350,4
54200,4
47249,5
1502,4
46299,4
66934,4
22023,6
32717,5
14611,4
58250,4
57626,2
62246,5
23797,6
22384,4
12713,4
23746,4
66152,5
67502,5
6386,6
49880,4
17237,5
30440,4
1167,6
56238,4
36957,5
14006,5
23036,5
38950,4
9889,5
64840,6
10951,4
38975,4
46621,4
41416,6
57568,6
16125,4
33413,4
29067,5
44663,4
6587,4
56231,5
43684,3
1155,4
28864,4
64534,5
50515,5
48716,6
19576,4
6002,5
17183,5
24907,5
26834,6
52768,5
41411,4
20517,6
70195,4
23291,5
9066,5
36115,6
42960,4
